ranking_posicao,musica,tag_musica,tag_trecho,ESTROFE,artista,ano,ntokens,url,topic
1218,Pantera Cor-de-rosa,musica1218,musica1218_trecho2,Sabe se vestir do jeito que o homem gosta Vestido apertadinho da pantera cor-de-rosa Pra que?,Munhoz & Mariano,2014,16,https://www.letras.mus.br/munhoz-mariano/pantera-cor-de-rosa/,-1
1218,Pantera Cor-de-rosa,musica1218,musica1218_trecho3,Pada pada pada pada Pada pada pada pada Pra dar o que falar,Munhoz & Mariano,2014,13,https://www.letras.mus.br/munhoz-mariano/pantera-cor-de-rosa/,-1
1218,Pantera Cor-de-rosa,musica1218,musica1218_trecho5,"Não importa se é preto Branco, verde ou cor-de-rosa Se for apertadinho pode pôr, que o pai gosta",Munhoz & Mariano,2014,18,https://www.letras.mus.br/munhoz-mariano/pantera-cor-de-rosa/,-1
988,Par De Olhos,musica988,musica988_trecho3,"E foi por causa de um par de olhos castanhos Que eu vim parar nesse ambiente aqui Era pra amenizar, mas só tá aumentando E é por isso que eu choro assim",Lauana Prado,2025,32,https://www.letras.mus.br/lauana-prado/par-de-olhos/,-1
988,Par De Olhos,musica988,musica988_trecho4,"Foi por causa de um par de olhos castanhos Que eu vim parar nesse ambiente aqui Era pra amenizar, mas só tá aumentando E é por isso que eu choro assim",Lauana Prado,2025,31,https://www.letras.mus.br/lauana-prado/par-de-olhos/,-1
988,Par De Olhos,musica988,musica988_trecho8,"Era pra amenizar, mas só tá aumentando E é por isso que eu choro assim",Lauana Prado,2025,15,https://www.letras.mus.br/lauana-prado/par-de-olhos/,-1
671,PARECE,musica671,musica671_trecho2,"Quem era só pra dar uns amasso, eu dei um curto espaço Ela nem deu a mão, eu dei o braço O empolgado aqui achou que ia virar alguma coisa Os eu te amo de olho virado",Luan Santana,2024,37,https://www.letras.mus.br/luan-santana/parece/,-1
671,PARECE,musica671,musica671_trecho3,"Cê parece o amor da minha vida, mas não é De longe, copo de Coca também parece café O álcool parece água, o açúcar parece sal O que parece que faz bem pode fazer mal Cê parece o amor da minha vida, mas não é De longe, copo de Coca também parece café O álcool parece água, o açúcar parece sal A gente parece de tudo, só não parece um casal Só não parece um casal",Luan Santana,2024,76,https://www.letras.mus.br/luan-santana/parece/,-1
1242,Parece Namoro,musica1242,musica1242_trecho1,"Você sempre vem, você sempre volta É um vai e vem que não sai de órbita Me acostumei, nem tranco a porta Eita vida torta, não sai de moda",Marília Mendonça,2018,29,https://www.letras.mus.br/marilia-mendonca/parece-namoro/,-1
1242,Parece Namoro,musica1242,musica1242_trecho9,A gente é tão um do outro,Marília Mendonça,2018,7,https://www.letras.mus.br/marilia-mendonca/parece-namoro/,-1
