ranking_posicao,musica,tag_musica,tag_trecho,ESTROFE,artista,ano,ntokens,url,topic
498,Meteoro,musica498,musica498_trecho2,Depois que eu te conheci fui mais feliz Você é exatamente o que eu sempre quis Ela se encaixa perfeitamente em mim O nosso quebra-cabeça teve fim,Luan Santana,2009,27,https://www.letras.mus.br/luan-santana/1407542/,-1
498,Meteoro,musica498,musica498_trecho3,"Se for sonho, não me acorde Eu preciso flutuar Pois só quem sonha Consegue alcançar",Luan Santana,2009,15,https://www.letras.mus.br/luan-santana/1407542/,-1
498,Meteoro,musica498,musica498_trecho10,"Te dei o sol, te dei o mar Pra ganhar seu coração Você é raio de saudade Meteoro da paixão Explosão de sentimentos Que eu não pude acreditar Ah! Como é bom poder te amar! Ah! Como é bom poder te amar!",Luan Santana,2009,42,https://www.letras.mus.br/luan-santana/1407542/,-1
1312,Meu Amor,musica1312,musica1312_trecho3,Tive que quebrar a cara por aí Comprar buquê de flores Que murcharam no outro dia Sem ter valor Nenhum valor pro outro alguém,Henrique & Juliano,2017,24,https://www.letras.mus.br/henrique-e-juliano/meu-amor/,-1
1312,Meu Amor,musica1312,musica1312_trecho4,"E aí, meu amor Tô mais maduro e mais seguro do que eu quero Ganhei uns quilos e, na aparência, eu tô mais velho E ainda te gosto tanto, te amo o mesmo tanto",Henrique & Juliano,2017,34,https://www.letras.mus.br/henrique-e-juliano/meu-amor/,-1
1096,Meu Coração Pede Carona,musica1096,musica1096_trecho1,"Faz tempo, to na estrada Procurando por alguém que me deixou assim A cada curva, cada passo penso em você será que pensa em mim? É fato e ta na cara, que eu vivo sem respirar Eu perco o chão e por você também me falta o ar Já procurei por todo canto, mas não encontrei vestígio seu",João Neto e Frederico,2012,58,https://www.letras.mus.br/joao-neto-frederico/1832016/,-1
1096,Meu Coração Pede Carona,musica1096,musica1096_trecho2,"Se eu puder me controlar, ganhar seu coração Viajaria o mundo inteiro para te ter nas mãos Se for preciso perco medo, pago o preço para encontrar a direção Uô, uô, uô",João Neto e Frederico,2012,32,https://www.letras.mus.br/joao-neto-frederico/1832016/,-1
1096,Meu Coração Pede Carona,musica1096,musica1096_trecho5,"É fato e ta na cara que eu vivo sem respirar Eu perco o chão e por você também me falta o ar Já procurei por todo canto, mas não encontrei vestígio seu",João Neto e Frederico,2012,33,https://www.letras.mus.br/joao-neto-frederico/1832016/,-1
1096,Meu Coração Pede Carona,musica1096,musica1096_trecho6,"Se eu puder me controlar ganhar seu coração Viajaria o mundo inteiro para te ter nas mãos Se for preciso perco medo, pago o preço para encontrar a direção Uô, uô, uô",João Neto e Frederico,2012,32,https://www.letras.mus.br/joao-neto-frederico/1832016/,-1
155,Meu Destino,musica155,musica155_trecho2,"E, nesse momento, parece que o mar e as estrelas do céu Puderam me ver te amar Me entreguei e senti A magia do amor sobre mim",Luan Santana,2008,27,https://www.letras.mus.br/luan-santana/1264252/,-1
155,Meu Destino,musica155,musica155_trecho3,"E agora não tem quem arranque Você de dentro do meu coração Você é minha fantasia, meu sonho lindo, minha ilusão Eu esperei a hora que eu pudesse te dizer O meu destino é pra sempre amar você",Luan Santana,2008,38,https://www.letras.mus.br/luan-santana/1264252/,-1
543,Meu Grito de Amor,musica543,musica543_trecho1,Me dei demais Não fui capaz De tomar conta de mim E amei assim,Zé Felipe,2025,14,https://www.letras.mus.br/ze-felipe/meu-grito-de-amor/,-1
