ranking_posicao,musica,tag_musica,tag_trecho,ESTROFE,artista,ano,ntokens,url,topic
1183,A Bela e o Fera,musica1183,musica1183_trecho13,A Bela e o Fera Isso que é amor A Bela e o Fera Isso que é amor,Munhoz & Mariano,2011,18,https://www.letras.mus.br/munhoz-mariano/a-bela-e-a-fera/,-1
256,A Carta,musica256,musica256_trecho1,Estou escrevendo esta carta meio aos prantos Ando meio pelos cantos Pois não encontrei coragem De encarar o seu olhar,Eduardo Costa,2008,20,https://www.letras.mus.br/eduardo-costa/1303708/,-1
256,A Carta,musica256,musica256_trecho2,Está fazendo algum tempo Que uma coisa aqui por dentro Despertou e é tão forte Que eu não pude te contar,Eduardo Costa,2008,21,https://www.letras.mus.br/eduardo-costa/1303708/,-1
256,A Carta,musica256,musica256_trecho3,Quando você ler Eu vou estar bem longe Não me julgue tão covarde Só não quis te ver chorar,Eduardo Costa,2008,19,https://www.letras.mus.br/eduardo-costa/1303708/,-1
256,A Carta,musica256,musica256_trecho4,"Perdão, amiga São coisas que acontecem Dê um beijo nos meninos Pois eu não vou mais voltar",Eduardo Costa,2008,17,https://www.letras.mus.br/eduardo-costa/1303708/,-1
256,A Carta,musica256,musica256_trecho6,"E por isso decidi Que vou ficar com ela A minha passagem, por favor, cancela Vá sozinha, eu não vou mais",Eduardo Costa,2008,21,https://www.letras.mus.br/eduardo-costa/1303708/,-1
256,A Carta,musica256,musica256_trecho7,Quando cheguei no portão da minha casa Como se eu tivesse asas Me senti igual criança Deu vontade de voar,Eduardo Costa,2008,20,https://www.letras.mus.br/eduardo-costa/1303708/,-1
256,A Carta,musica256,musica256_trecho9,E com as lágrimas as palavras vinham E rolavam como pedras E ela só a me escutar,Eduardo Costa,2008,17,https://www.letras.mus.br/eduardo-costa/1303708/,-1
256,A Carta,musica256,musica256_trecho10,Ao enxugar minhas lágrimas com um beijo Revelou que já sabia Mas iria perdoar,Eduardo Costa,2008,14,https://www.letras.mus.br/eduardo-costa/1303708/,-1
256,A Carta,musica256,musica256_trecho12,"E por isso decidi Que vou ficar com ela A minha passagem, por favor, cancela Vá sozinha, não vou mais",Eduardo Costa,2008,20,https://www.letras.mus.br/eduardo-costa/1303708/,-1
1254,A Casa Caiu,musica1254,musica1254_trecho2,"Tô grilado, encanado Por que armou isso comigo? Tô pirado, revoltado Não vou ser mais seu ombro amigo",Fernando e Sorocaba,2009,18,https://www.letras.mus.br/fernando-sorocaba/1603280/,-1
1254,A Casa Caiu,musica1254,musica1254_trecho3,"Para, para, para, tá louca Tá tudo errado, fica longe da minha boca Para, sua casa caiu de vez Eu sei do seu passado, você faz tudo errado O amor tá acabado, eu já tô cansado da sua estupidez",Fernando e Sorocaba,2009,39,https://www.letras.mus.br/fernando-sorocaba/1603280/,-1
1377,A Culpa É Dele (part. Maiara & Maraisa),musica1377,musica1377_trecho1,"Ei, amiga, senta aqui Que cara é essa aí? Será que alguém morreu? O que aconteceu? O que quer me dizer? Por que cê tá chorando? Eu não tô entendendo Cê tá me assustando",Marília Mendonça,2018,34,https://www.letras.mus.br/marilia-mendonca/a-culpa-dele-part-maiara-e-maraisa/,-1
1377,A Culpa É Dele (part. Maiara & Maraisa),musica1377,musica1377_trecho2,"Lembro da noite, sim Que a gente saiu Cê disse que ia ali Logo depois sumiu Aonde você tava? Como assim, vou ficar brava? Que história é essa que aconteceu?",Marília Mendonça,2018,30,https://www.letras.mus.br/marilia-mendonca/a-culpa-dele-part-maiara-e-maraisa/,-1
1377,A Culpa É Dele (part. Maiara & Maraisa),musica1377,musica1377_trecho3,"O cara que eu tava deu em cima de você, foi? E aí você ficou com ele, mas foi uma vez, ok Do que cê tá com medo? De estragar a amizade? Nem fica preocupada, a gente resolve mais tarde",Marília Mendonça,2018,40,https://www.letras.mus.br/marilia-mendonca/a-culpa-dele-part-maiara-e-maraisa/,-1
1377,A Culpa É Dele (part. Maiara & Maraisa),musica1377,musica1377_trecho4,"Se quem tava comigo era ele, a culpa é dele Quem fez essa bagunça na nossa amizade é ele Eu não vou deixar de ser sua amiga por causa de um qualquer Que não respeita uma mulher",Marília Mendonça,2018,37,https://www.letras.mus.br/marilia-mendonca/a-culpa-dele-part-maiara-e-maraisa/,-1
1377,A Culpa É Dele (part. Maiara & Maraisa),musica1377,musica1377_trecho6,"O cara que eu tava deu em cima de você, foi? Aí você ficou com ele, mas foi só uma vez Do que cê tá com medo? De estragar a amizade? Nem fica preocupada, a gente resolve mais tarde",Marília Mendonça,2018,39,https://www.letras.mus.br/marilia-mendonca/a-culpa-dele-part-maiara-e-maraisa/,-1
1377,A Culpa É Dele (part. Maiara & Maraisa),musica1377,musica1377_trecho9,Eu não vou deixar de ser sua amiga por causa de um qualquer Que não respeita uma mulher,Marília Mendonça,2018,18,https://www.letras.mus.br/marilia-mendonca/a-culpa-dele-part-maiara-e-maraisa/,-1
171,A Culpa É Nossa,musica171,musica171_trecho1,Tá preocupado com o que eu vou falar Quando alguém perguntar o motivo da gente largar Eu vou falar a verdade Se isso te incomoda,Maiara & Maraisa,2023,25,https://www.letras.mus.br/maiara-maraisa/a-culpa-e-nossa/,-1
171,A Culpa É Nossa,musica171,musica171_trecho2,"Pensasse antes de ter feito O que chama de erro, eu chamo de escolha Ou quer me convencer que alguém colocou uma arma na sua cabeça e falou Beija minha boca?",Maiara & Maraisa,2023,31,https://www.letras.mus.br/maiara-maraisa/a-culpa-e-nossa/,-1
117,A Dama de Vermelho,musica117,musica117_trecho3,Essa dama já me pertenceu E o culpado fui eu Da separação Hoje choro de ciúme Ciúme até do perfume Que ela deixa no salão,Bruno & Marrone,2019,25,https://www.letras.mus.br/bruno-e-marrone/94659/,-1
117,A Dama de Vermelho,musica117,musica117_trecho4,Garçom amigo Apague a luz da minha mesa Eu não quero que ela note Em mim tanta tristeza,Bruno & Marrone,2019,18,https://www.letras.mus.br/bruno-e-marrone/94659/,-1
1188,A Distância,musica1188,musica1188_trecho1,"Nunca mais você ouviu falar de mim Mas eu continuei a ter você E toda esta saudade que ficou Tanto tempo já passou, e eu não te esqueci",Zezé Di Camargo & Luciano,2008,28,https://www.letras.mus.br/zeze-di-camargo-e-luciano/1372804/,-1
1188,A Distância,musica1188,musica1188_trecho2,"Quantas vezes eu pensei em voltar E dizer que meu amor, nada mudou Mas o meu silêncio foi maior E na distância morro todo dia sem você saber",Zezé Di Camargo & Luciano,2008,28,https://www.letras.mus.br/zeze-di-camargo-e-luciano/1372804/,-1
