ranking_posicao,musica,tag_musica,tag_trecho,ESTROFE,artista,ano,ntokens,url,topic
35,50 Reais (part. Maiara & Maraisa),musica35,musica35_trecho1,"Bonito! Que bonito, hein! Que cena mais linda Será que eu estou atrapalhando o casalzinho aí?",Naiara Azevedo,2016,16,https://www.letras.mus.br/naiara-azevedo/50-reais/,-1
35,50 Reais (part. Maiara & Maraisa),musica35,musica35_trecho2,Que lixo! Cê tá de brincadeira Então é aqui o seu futebol toda quarta-feira,Naiara Azevedo,2016,14,https://www.letras.mus.br/naiara-azevedo/50-reais/,-1
35,50 Reais (part. Maiara & Maraisa),musica35,musica35_trecho3,E por acaso esse motel É o mesmo que me trouxe na lua de mel? É o mesmo que você me prometeu o céu E agora me tirou o chão?,Naiara Azevedo,2016,30,https://www.letras.mus.br/naiara-azevedo/50-reais/,-1
162,60 Segundos,musica162,musica162_trecho1,"Me dê um minuto pra falar Que eu preciso de você, meu amor 59 segundos é o que resta Pra entender essa paixão no meu peito",Gusttavo Lima,2011,26,https://www.letras.mus.br/gusttavo-lima/1966132/,-1
162,60 Segundos,musica162,musica162_trecho3,Você enlouquece o meu coração Você sabe que eu tô em suas mãos,Gusttavo Lima,2011,13,https://www.letras.mus.br/gusttavo-lima/1966132/,-1
604,A,musica604,musica604_trecho1,Tá em dúvida Não sabe se é normal gostar de dois Tá entre o que é e o que já foi Vou te ajudar a decidir agora,Luan Santana,2018,27,https://www.letras.mus.br/luan-santana/a/,-1
604,A,musica604,musica604_trecho5,"Tá em dúvida (tá em dúvida) Não sabe se é normal gostar de dois (não é normal) Tá entre o que é e o que já foi (ele já foi) Vou te ajudar a decidir agora, oh",Luan Santana,2018,37,https://www.letras.mus.br/luan-santana/a/,-1
604,A,musica604,musica604_trecho11,"Não tem mais dúvida Não tem mais dúvida Ele é o B, eu sou o A Com quem cê vai ficar?",Luan Santana,2018,21,https://www.letras.mus.br/luan-santana/a/,-1
604,A,musica604,musica604_trecho12,"Não tem mais dúvida Não tenha dúvida Ele é o B, eu sou o A Com quem cê vai ficar?",Luan Santana,2018,20,https://www.letras.mus.br/luan-santana/a/,-1
1183,A Bela e o Fera,musica1183,musica1183_trecho3,Quem diria Que a Bela e a Fera Formariam no final Um belo casal,Munhoz & Mariano,2011,14,https://www.letras.mus.br/munhoz-mariano/a-bela-e-a-fera/,-1
1183,A Bela e o Fera,musica1183,musica1183_trecho5,E ele lê romance Vê filme de terror A Bela e o Fera Isso que é amor,Munhoz & Mariano,2011,17,https://www.letras.mus.br/munhoz-mariano/a-bela-e-a-fera/,-1
1216,A Bússola,musica1216,musica1216_trecho3,Só preciso da bússola que me tirou do escuro A bússola que gira...gira...gira E sempre aponta pro futuro E se eu for pro sul mesmo que seja sem querer Você me traz pro leste para ver o sol nascer,Luan Santana,2011,39,https://www.letras.mus.br/luan-santana/1779415/,-1
256,A Carta,musica256,musica256_trecho1,Estou escrevendo esta carta meio aos prantos Ando meio pelos cantos Pois não encontrei coragem De encarar o seu olhar,Eduardo Costa,2008,20,https://www.letras.mus.br/eduardo-costa/1303708/,-1
256,A Carta,musica256,musica256_trecho5,"Como eu poderia dar a ela esta carta? Como eu vou deixar pra sempre aquela casa Se eu já sou feliz, se eu já tenho amor Se eu já vivo em paz?",Eduardo Costa,2008,32,https://www.letras.mus.br/eduardo-costa/1303708/,-1
256,A Carta,musica256,musica256_trecho9,E com as lágrimas as palavras vinham E rolavam como pedras E ela só a me escutar,Eduardo Costa,2008,17,https://www.letras.mus.br/eduardo-costa/1303708/,-1
256,A Carta,musica256,musica256_trecho11,"Como eu poderia dar a ela essa carta? Como eu vou deixar pra sempre aquela casa Se eu já sou feliz, se eu já tenho amor Se eu já vivo em paz?",Eduardo Costa,2008,32,https://www.letras.mus.br/eduardo-costa/1303708/,-1
1254,A Casa Caiu,musica1254,musica1254_trecho1,Eu tenho mais o que fazer Será que você me entende? Quero um amor decente Nossa paixão desmoronou e só você não viu Sua casa caiu,Fernando e Sorocaba,2009,26,https://www.letras.mus.br/fernando-sorocaba/1603280/,-1
1254,A Casa Caiu,musica1254,musica1254_trecho2,"Tô grilado, encanado Por que armou isso comigo? Tô pirado, revoltado Não vou ser mais seu ombro amigo",Fernando e Sorocaba,2009,18,https://www.letras.mus.br/fernando-sorocaba/1603280/,-1
1377,A Culpa É Dele (part. Maiara & Maraisa),musica1377,musica1377_trecho3,"O cara que eu tava deu em cima de você, foi? E aí você ficou com ele, mas foi uma vez, ok Do que cê tá com medo? De estragar a amizade? Nem fica preocupada, a gente resolve mais tarde",Marília Mendonça,2018,40,https://www.letras.mus.br/marilia-mendonca/a-culpa-dele-part-maiara-e-maraisa/,-1
1377,A Culpa É Dele (part. Maiara & Maraisa),musica1377,musica1377_trecho6,"O cara que eu tava deu em cima de você, foi? Aí você ficou com ele, mas foi só uma vez Do que cê tá com medo? De estragar a amizade? Nem fica preocupada, a gente resolve mais tarde",Marília Mendonça,2018,39,https://www.letras.mus.br/marilia-mendonca/a-culpa-dele-part-maiara-e-maraisa/,-1
